pos,code,book,chapter,verse,word_index
Adjective,A-NSN-N,1TI,4,4,20
Adjective,A-NSM-N,1TI,4,12,2
Adjective,A-ASF-N,1TI,5,14,20
Adjective,A-ASN-N,1TI,5,21,53
Adjective,A-DSM-N,1TI,5,22,8
Adjective,A-ASN-N,1TI,6,4,5
Adjective,A-ASN-N,1TI,6,7,2
Adjective,A-NSM-N,1TI,6,16,29
Adjective,A-NSM-N,2TI,2,4,2
Adjective,A-ASN-N,2TI,2,14,29
Adjective,A-NSM-N,2TI,4,16,17
Adjective,A-NSN-N,TIT,1,15,32
Adjective,A-ASN-N,TIT,2,8,26
Adjective,A-NSM-N,TIT,2,15,29
Adjective,A-ASM-N,TIT,3,2,2
Adjective,A-ASN-N,TIT,3,13,26
Adjective,A-ASN-N,PHM,1,14,17
Adjective,A-ASN-N,HEB,2,8,41
Adjective,A-GSM-N,HEB,6,13,26
Adjective,A-NSM-N,HEB,7,13,32
Adjective,A-ASN-N,HEB,7,14,38
Adjective,A-ASN-N,HEB,7,19,2
Adjective,A-ASF-N,HEB,10,2,23
Adjective,A-NSM-N,HEB,12,14,29
Adjective,A-DSN-N,JAM,1,4,38
Adjective,A-ASN-N,JAM,1,6,14
Adjective,A-NSM-N,JAM,1,13,2
Adjective,A-ASM-N,JAM,1,13,50
Adjective,A-NSM-N,JAM,3,8,11
Adjective,A-NSF-N,JAM,3,12,35
Adjective,A-ASF-N,1PE,3,6,47
Adjective,A-NSF-N,1JO,1,5,71
Adjective,A-NSM-N,1JO,3,7,5
Adjective,A-NSM-N,1JO,4,12,5
Adjective,A-ASN-N,3JO,1,7,17
Adjective,A-ASN-N,REV,2,10,2
Adjective,A-NSM-N,REV,2,17,95
Adjective,A-NSM-N,REV,3,7,71
Adjective,A-NSM-N,REV,3,7,95
Adjective,A-NSM-N,REV,3,8,35
Adjective,A-NSM-N,REV,3,11,20
Adjective,A-GSN-N,REV,3,17,23
Adjective,A-GSM-N,REV,3,17,25
Adjective,A-NSM-N,REV,5,3,5
Adjective,A-NSM-N,REV,5,4,17
Adjective,A-NSM-N,REV,7,9,29
Adjective,A-NSM-N,REV,14,3,50
Adjective,A-NSM-N,REV,15,8,50
Adjective,A-NSM-N,REV,18,11,44
Adjective,A-NSM-N,REV,19,12,62
