pos,code,info_length
Reflexive Pronoun,F-2APN,4
Reflexive Pronoun,F-3GPN,4
Relative Pronoun,R-GSF,3
Relative Pronoun,R-NSN,3
Relative Pronoun,R-GSM,3
Relative Pronoun,R-NSM,3
Relative Pronoun,R-ASM,3
Relative Pronoun,R-DSM,3
Relative Pronoun,R-GPN,3
Relative Pronoun,R-DSN,3
Relative Pronoun,R-NPM,3
Relative Pronoun,R-ASN,3
Relative Pronoun,R-ASF,3
Relative Pronoun,R-APN,3
Relative Pronoun,R-DPF,3
Relative Pronoun,R-APM,3
Relative Pronoun,R-NPN,3
Relative Pronoun,R-GSN,3
Relative Pronoun,R-DPM,3
Relative Pronoun,R-NSF,3
Relative Pronoun,R-DSF,3
Relative Pronoun,R-NPF,3
Relative Pronoun,R-GPM,3
Relative Pronoun,R-DPN,3
Relative Pronoun,R-GPF,3
Relative Pronoun,R-APF,3
Relative Pronoun,R-GSN-ATT,6
Verb,V-AAN,3
Verb,V-PAN,3
Verb,V-APN,3
Verb,V-PPN,3
Verb,V-PNN,3
Verb,V-AMN,3
Verb,V-ADN,3
Verb,V-AON,3
Verb,V-PMN,3
Verb,V-RPN,3
Verb,V-PEN,3
Verb,V-RAN,3
Verb,V-FAN,3
Verb,V-FDN,3
Verb,V-2AAN,4
Verb,V-2APN,4
Verb,V-2ADN,4
Verb,V-2AMN,4
Verb,V-2RAN,4
Verb,V-2AON,4
Verb,V-AAI-3S,5
Verb,V-API-3S,5
Verb,V-IAI-3S,5
Verb,V-AOI-3S,5
Verb,V-AOS-2S,5
Verb,V-PAI-3S,5
Verb,V-FDI-3S,5
Verb,V-FAI-2S,5
Verb,V-FAI-3S,5
Verb,V-APS-3S,5
Verb,V-FAI-3P,5
Verb,V-INI-3S,5
Verb,V-PPI-3S,5
Verb,V-RPI-3S,5
Verb,V-PAI-2S,5
Verb,V-AAM-2P,5
Verb,V-AAS-1S,5
Verb,V-AOI-3P,5
Verb,V-AAI-3P,5
Verb,V-PEI-3S,5
Verb,V-PAM-2S,5
Verb,V-AAI-1S,5
Verb,V-PAI-3P,5
Verb,V-PNM-2S,5
Verb,V-RAI-3P,5
Verb,V-FPI-3S,5
Verb,V-PNI-3S,5
Verb,V-PAM-2P,5
Verb,V-RAI-3S,5
Verb,V-IPI-3P,5
Verb,V-AAS-2P,5
Verb,V-PAI-1P,5
Verb,V-PAI-1S,5
Verb,V-PNI-2S,5
Verb,V-API-3P,5
Verb,V-FNI-3S,5
Verb,V-AAS-2S,5
Verb,V-FAI-1S,5
Verb,V-IAI-3P,5
Verb,V-AMI-3S,5
Verb,V-FPI-3P,5
Verb,V-FDI-3P,5
Verb,V-PAI-2P,5
Verb,V-AAS-3P,5
Verb,V-PNM-2P,5
Verb,V-AAM-3S,5
Verb,V-AAS-3S,5
Verb,V-AAI-2P,5
Verb,V-PAS-2S,5
Verb,V-APS-2S,5
Verb,V-FPI-2S,5
Verb,V-AAM-2S,5
Verb,V-PAM-3S,5
Verb,V-ADS-2P,5
Verb,V-FDI-2P,5
Verb,V-APS-3P,5
Verb,V-PAS-3S,5
Verb,V-PNS-2S,5
Verb,V-FDI-2S,5
Verb,V-ADM-2S,5
Verb,V-APS-2P,5
Verb,V-APM-3S,5
Verb,V-AOM-3S,5
Verb,V-PAS-2P,5
Verb,V-AMM-2S,5
Verb,V-PNI-2P,5
Verb,V-AMS-2P,5
Verb,V-FPI-2P,5
Verb,V-FAI-2P,5
Verb,V-RAI-2P,5
Verb,V-PAS-3P,5
Verb,V-PNI-3P,5
Verb,V-AAI-1P,5
Verb,V-LPI-3S,5
Verb,V-ADI-3S,5
Verb,V-APM-2S,5
Verb,V-AOM-2S,5
Verb,V-AAI-2S,5
Verb,V-PMI-1P,5
Verb,V-RPI-3P,5
Verb,V-RAS-2P,5
Verb,V-INI-3P,5
Verb,V-PPI-3P,5
Verb,V-FMI-3P,5
Verb,V-AMS-1S,5
Verb,V-FPI-1S,5
Verb,V-PNI-1S,5
Verb,V-AOM-2P,5
Verb,V-ADM-2P,5
Verb,V-ADS-3S,5
Verb,V-FDI-1S,5
Verb,V-ADI-2P,5
Verb,V-AMI-2P,5
Verb,V-PMI-1S,5
Verb,V-PNS-3S,5
Verb,V-AMI-3P,5
Verb,V-LAI-2P,5
Verb,V-IMI-3P,5
