id,std_poly_form,std_poly_LC,str_num_1,str_num_2,str_num_3
614,ἀνδρέαν,ἀνδρέαν,406,,
615,ἀδελφόν,ἀδελφόν,80,,
616,βάλλοντας,βάλλοντας,906,,
617,ἀμφίβληστρον,ἀμφίβληστρον,293,,
618,ἦσαν,ἦσαν,1510,,
619,ἁλιεῖς,ἁλιεῖς,231,,
620,δεῦτε,δεῦτε,1205,,
621,ποιήσω,ποιήσω,4160,,
622,ἀνθρώπων,ἀνθρώπων,444,,
623,εὐθέως,εὐθέως,2112,,
624,ἀφέντες,ἀφέντες,863,,
625,δίκτυα,δίκτυα,1350,,
626,ἠκολούθησαν,ἠκολούθησαν,190,,
627,προβάς,προβάς,4260,,
628,ἐκεῖθεν,ἐκεῖθεν,1564,,
