book,chapter,verse,word_index,matched_word_index,word_order,secondary_word_order,word,unicode,std_poly_form,str_num,lemma,def,root_1,root_2,root_3,str_num_alt_2,str_num_alt_3
JOH,8,6,3,3.0,3,1,E)/LEGON,ἔλεγον,ἔλεγον,3004.0,λέγω,"ask, bid, boast, call, describe, give out, name, put forth, say(-ing, on), shew, speak, tell, utter",,,,,
JOH,8,6,4,4.0,4,1,PEIRA/ZONTES,πειράζοντες,πειράζοντες,3985.0,πειράζω,"assay, examine, go about, prove, tempt(-er), try",πεῖρα,,,,
JOH,8,6,5,5.0,5,1,AU)TO/N,αὐτόν,αὐτόν,846.0,αὐτός,"her, it(-self), one, the other, (mine) own, said, (self-), the) same, ((him-, my-, thy- )self, (your-)selves, she, that, their(-s), them(-selves), there(-at, - by, -in, -into, -of, -on, -with), they, (these) things, this (man), those, together, very, which",,,,,
JOH,8,6,6,6.0,6,1,I(/NA,ἵνα,ἵνα,2443.0,ἵνα,"albeit, because, to the intent (that), lest, so as, (so) that, (for) to",ἑαυτού,,,,
JOH,8,6,7,7.0,7,1,E)/XWSIN,ἔχωσιν,ἔχωσιν,2192.0,ἔχω,"be (able, X hold, possessed with), accompany, + begin to amend, can(+ -not), X conceive, count, diseased, do + eat, + enjoy, + fear, following, have, hold, keep, + lack, + go to law, lie, + must needs, + of necessity, + need, next, + recover, + reign, + rest, + return, X sick, take for, + tremble, + uncircumcised, use",,,,,
JOH,8,6,8,,8,1,KATHGORI/AN,κατηγορίαν,κατηγορίαν,2724.0,κατηγορία,accusation (X -ed),κατήγορος,,,,
JOH,8,6,9,,8,2,KAT,κατ,κατ,2596.0,κατά,"about, according as (to), after, against, (when they were) X alone, among, and, X apart, (even, like) as (concerning, pertaining to touching), X aside, at, before, beyond, by, to the charge of, (charita-)bly, concerning, + covered, (dai-)ly, down, every, (+ far more) exceeding, X more excellent, for, from ... to, godly, in(-asmuch, divers, every, -to, respect of), ... by, after the manner of, + by any means, beyond (out of) measure, X mightily, more, X natural, of (up-)on (X part), out (of every), over against, (+ your) X own, + particularly, so, through(-oughout, -oughout every), thus, (un-)to(-gether, -ward), X uttermost, where(-by), with.",,,,,
JOH,8,6,10,9.0,9,1,AU)TOU=,αὐτοῦ,αὐτοῦ,846.0,αὐτός,"her, it(-self), one, the other, (mine) own, said, (self-), the) same, ((him-, my-, thy- )self, (your-)selves, she, that, their(-s), them(-selves), there(-at, - by, -in, -into, -of, -on, -with), they, (these) things, this (man), those, together, very, which",,,,847.0,
JOH,8,6,11,10.0,10,1,*(O,Ὁ,ὁ,3588.0,ὁ,"the, this, that, one, he, she, it, etc",,,,,
JOH,8,6,12,11.0,11,1,DE\,δὲ,δέ,1161.0,δέ,"also, and, but, moreover, now",,,,,
JOH,8,6,13,12.0,12,1,*)IHSOU=S,Ἰησοῦς,ἰησοῦς,2424.0,Ἰησοῦς,Jesus,יְהוֹשׁוַּע,,,,
JOH,8,6,14,13.0,13,1,KA/TW,κάτω,κάτω,2736.0,κάτω,"beneath, bottom, down, under",κατά,,,,
JOH,8,6,15,14.0,14,1,KU/YAS,κύψας,κύψας,2955.0,κύπτω,stoop (down),κύμα,,,,
JOH,8,6,16,15.0,15,1,TW=|,τῷ,τῷ,3588.0,ὁ,"the, this, that, one, he, she, it, etc",,,,,
JOH,8,6,17,16.0,16,1,DAKTU/LW|,δακτύλῳ,δακτύλῳ,1147.0,δάκτυλος,finger,δέκα,,,,
JOH,8,6,18,17.0,17,1,E)/GRAFEN,ἔγραφεν,ἔγραφεν,1125.0,γράφω,"describe, write(-ing, -ten)",,,,,
JOH,8,6,19,18.0,18,1,EI)S,εἰς,εἰς,1519.0,εἰς,"(abundant-)ly, against, among, as, at, (back-)ward, before, by, concerning, + continual, + far more exceeding, for (intent, purpose), fore, + forth, in (among, at, unto, -so much that, -to), to the intent that, + of one mind, + never, of, (up-)on, + perish, + set at one again, (so) that, therefore(-unto), throughout, til, to (be, the end, -ward), (here-)until(-to), ...ward, (where-)fore, with",,,,,
JOH,8,6,20,19.0,19,1,TH\N,τὴν,τήν,3588.0,ὁ,"the, this, that, one, he, she, it, etc",,,,,
JOH,8,6,21,20.0,20,1,GH=N,γῆν,γῆν,1093.0,γῆ,"country, earth(-ly), ground, land, world",,,,,
JOH,8,7,1,1.0,1,1,*(WS,Ὡς,ὡς,5613.0,ὡς,"about, after (that), (according) as (it had been, it were), as soon (as), even as (like), for, how (greatly), like (as, unto), since, so (that), that, to wit, unto, when(-soever), while, X with all speed",ὅς,,,,
JOH,8,7,2,2.0,2,1,DE\,δὲ,δέ,1161.0,δέ,"also, and, but, moreover, now",,,,,
JOH,8,7,3,3.0,3,1,E)PE/MENON,ἐπέμενον,ἐπέμενον,1961.0,ἐπιμένω,"abide (in), continue (in), tarry",ἐπί,μένω,,,
JOH,8,7,4,,4,1,E)PERWTW=NTES,ἐπερωτῶντες,,,,,,,,,
JOH,8,7,5,5.0,5,1,AU)TO/N,αὐτόν,αὐτόν,846.0,αὐτός,"her, it(-self), one, the other, (mine) own, said, (self-), the) same, ((him-, my-, thy- )self, (your-)selves, she, that, their(-s), them(-selves), there(-at, - by, -in, -into, -of, -on, -with), they, (these) things, this (man), those, together, very, which",,,,,
JOH,8,7,6,,6,1,A)NABLE/YAS,ἀναβλέψας,ἀναβλέψας,308.0,ἀναβλέπω,"look (up), see, receive sight",ἀνά,βλέπω,,,
JOH,8,7,7,7.0,7,1,EI)=PEN,εἶπεν,εἶπεν,3004.0,λέγω,"ask, bid, boast, call, describe, give out, name, put forth, say(-ing, on), shew, speak, tell, utter",,,,,
JOH,8,7,8,,8,1,AU)TOI=S,αὐτοῖς,αὐτοῖς,846.0,αὐτός,"her, it(-self), one, the other, (mine) own, said, (self-), the) same, ((him-, my-, thy- )self, (your-)selves, she, that, their(-s), them(-selves), there(-at, - by, -in, -into, -of, -on, -with), they, (these) things, this (man), those, together, very, which",,,,,
JOH,8,7,9,10.0,10,1,*(O,Ὁ,ὁ,3588.0,ὁ,"the, this, that, one, he, she, it, etc",,,,,
JOH,8,7,10,11.0,11,1,A)NAMA/RTHTOS,ἀναμάρτητος,ἀναμάρτητος,361.0,ἀναμάρτητος,that is without sin,α,ἁμαρτάνω,,,
JOH,8,7,11,12.0,12,1,U(MW=N,ὑμῶν,ὑμῶν,4771.0,σύ,thou,,,,,
JOH,8,7,12,,13,1,PRW=TOS,πρῶτος,πρῶτος,4413.0,πρῶτος,"before, beginning, best, chief(-est), first (of all), former",πρό,,,,
