id,word,unicode,std_poly_LC,book,chapter,verse,word_index
193,BI/AS,βίας,βίας,ACT,24,7,8
194,E)K,ἐκ,ἐκ,ACT,24,7,9
195,TW=N,τῶν,τῶν,ACT,24,7,10
196,XEIRW=N,χειρῶν,χειρῶν,ACT,24,7,11
197,H(MW=N,ἡμῶν,ἡμῶν,ACT,24,7,12
198,A)PH/GAGEN,ἀπήγαγεν,ἀπήγαγεν,ACT,24,7,13
199,KELEU/SAS,κελεύσας,κελεύσας,ACT,24,8,1
200,TOU\S,τοὺς,τούς,ACT,24,8,2
201,KATHGO/ROUS,κατηγόρους,κατηγόρους,ACT,24,8,3
202,AU)TOU=,αὐτοῦ,αὐτοῦ,ACT,24,8,4
203,E)/RXESQAI,ἔρχεσθαι,ἔρχεσθαι,ACT,24,8,5
204,E)PI\,ἐπὶ,ἐπί,ACT,24,8,6
205,PAR,παρ,παρ,ACT,24,8,7
206,OU(=,οὗ,οὗ,ACT,24,8,8
207,DUNH/SH|,δυνήσῃ,δυνήσῃ,ACT,24,8,9
208,AU)TO\S,αὐτὸς,αὐτός,ACT,24,8,10
209,A)NAKRI/NAS,ἀνακρίνας,ἀνακρίνας,ACT,24,8,11
210,PERI\,περὶ,περί,ACT,24,8,12
211,PA/NTWN,πάντων,πάντων,ACT,24,8,13
212,TOU/TWN,τούτων,τούτων,ACT,24,8,14
213,E)PIGNW=NAI,ἐπιγνῶναι,ἐπιγνῶναι,ACT,24,8,15
214,W(=N,ὧν,ὧν,ACT,24,8,16
215,H(MEI=S,ἡμεῖς,ἡμεῖς,ACT,24,8,17
216,KATHGOROU=MEN,κατηγοροῦμεν,κατηγοροῦμεν,ACT,24,8,18
217,AU)TOU=,αὐτοῦ,αὐτοῦ,ACT,24,8,19
