id,word,count,str_num,rp_code,rp_pos,rp_gender,rp_number,rp_word_case,rp_tense,rp_type,rp_voice,rp_mood,rp_person,rp_indeclinable,rp_description,rp_kai_incrasis,rp_extra
514,ειπον,164,3004,V-2AAI-3P,Verb,,Plural,,Second Aorist,,Active,Indicative,Third person,,,,
522,γεγραπται,67,1125,V-RPI-3S,Verb,,Singular,,Perfect,,Passive,Indicative,Third person,,,,
527,συ,179,4771,P-2NS,Personal Pronoun,,Singular,Nominative,,,,,Second person,,,,
529,γη,40,1093,N-VSF,Noun,Feminine,Singular,Vocative,,,,,,,,,
530,ιουδα,16,2448,N-GSM,Noun,Masculine,Singular,Genitive,,,,,,,,,
531,ουδαμως,1,3760,ADV-N,Adverb,,,,,negative,,,,,,,
532,ελαχιστη,1,1646,A-NSF-S,Adjective,Feminine,Singular,Nominative,,superlative,,,,,,,
533,ει,595,1510,V-PAI-2S,Verb,,Singular,,Present,,Active,Indicative,Second person,,,,
535,τοις,632,3588,T-DPM,Article,Masculine,Plural,Dative,,,,,,,,,
536,ηγεμοσιν,2,2232,N-DPM,Noun,Masculine,Plural,Dative,,,,,,,,,
541,εξελευσεται,3,1831,V-FDI-3S,Verb,,Singular,,Future,,middle Deponent,Indicative,Third person,,,,
542,ηγουμενος,3,2233,V-PNP-NSM,Verb,Masculine,Singular,Nominative,Present,,middle or passive Deponent,Participle,,,,,
543,οστις,26,3748,R-NSM,Relative Pronoun,Masculine,Singular,Nominative,,,,,,,,,
544,ποιμανει,3,4165,V-FAI-3S,Verb,,Singular,,Future,,Active,Indicative,Third person,,,,
547,μου,584,1473,P-1GS,Personal Pronoun,,Singular,Genitive,,,,,First person,,,,
549,ισραηλ,69,2474,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
550,τοτε,158,5119,ADV,Adverb,,,,,,,,,,,,
553,καλεσας,6,2564,V-AAP-NSM,Verb,Masculine,Singular,Nominative,Aorist,,Active,Participle,,,,,
555,μαγους,1,3097,N-APM,Noun,Masculine,Plural,Accusative,,,,,,,,,
556,ηκριβωσεν,2,198,V-AAI-3S,Verb,,Singular,,Aorist,,Active,Indicative,Third person,,,,
560,χρονον,28,5550,N-ASM,Noun,Masculine,Singular,Accusative,,,,,,,,,
562,φαινομενου,1,5316,V-PEP-GSM,Verb,Masculine,Singular,Genitive,Present,,Either middle or passive,Participle,,,,,
563,αστερος,3,792,N-GSM,Noun,Masculine,Singular,Genitive,,,,,,,,,
565,πεμψας,15,3992,V-AAP-NSM,Verb,Masculine,Singular,Nominative,Aorist,,Active,Participle,,,,,
569,ειπεν,637,3004,V-2AAI-3S,Verb,,Singular,,Second Aorist,,Active,Indicative,Third person,,,,
570,πορευθεντες,14,4198,V-AOP-NPM,Verb,Masculine,Plural,Nominative,Aorist,,passive Deponent,Participle,,,,,
571,ακριβως,5,199,ADV,Adverb,,,,,,,,,,,,
572,εξετασατε,2,1833,V-AAM-2P,Verb,,Plural,,Aorist,,Active,Imperative,Second person,,,,
573,περι,332,4012,PREP,Preposition,,,,,,,,,,,,
575,παιδιου,7,3813,N-GSN,Noun,Neuter,Singular,Genitive,,,,,,,,,
576,επαν,3,1875,CONJ,Conjunction,,,,,,,,,,,,
578,ευρητε,2,2147,V-2AAS-2P,Verb,,Plural,,Second Aorist,,Active,Subjunctive,Second person,,,,
