id,parsed_id,word,simplified_word,unicode,count
22094,22094,E)QAU/MAZEN,eqaumazen,ἐθαύμαζεν,2
22112,22112,A)POSTE/LLEIN,apostellein,ἀποστέλλειν,1
22124,22124,PARH/GGEILEN,parhggeilen,παρήγγειλεν,7
22128,22128,AI)/RWSIN,airwsin,αἴρωσιν,1
22133,22133,R(A/BDON,rabdon,ῥάβδον,1
22143,5100,XALKO/N,xalkon,χαλκόν,1
22145,22145,U(PODEDEME/NOUS,upodedemenous,ὑποδεδεμένους,1
22146,22146,SANDA/LIA,sandalia,σανδάλια,1
22161,22161,ME/NETE,menete,μένετε,4
22170,22170,DE/CWNTAI,decwntai,δέξωνται,3
22175,22175,E)KPOREUO/MENOI,ekporeuomenoi,ἐκπορευόμενοι,1
22179,22179,XOU=N,xoun,χοῦν,2
22181,22181,U(POKA/TW,upokatw,ὑποκάτω,9
22195,22195,*GOMO/RROIS,gomorrois,Γομόρροις,1
22205,22205,E)KH/RUSSON,ekhrusson,ἐκήρυσσον,2
22207,22207,METANOH/SWSIN,metanohswsin,μετανοήσωσιν,2
22211,22211,E)CE/BALLON,eceballon,ἐξέβαλλον,1
22213,22213,H)/LEIFON,hleifon,ἤλειφον,1
22214,22214,E)LAI/W|,elaiw,ἐλαίῳ,2
22218,22218,E)QERA/PEUON,eqerapeuon,ἐθεράπευον,1
22247,9613,*)/ALLOI,alloi,Ἄλλοι,8
22256,8180,*PROFH/THS,profhths,Προφήτης,6
22269,22269,A)PEKEFA/LISA,apekefalisa,ἀπεκεφάλισα,2
22300,22300,E)GA/MHSEN,egamhsen,ἐγάμησεν,1
22319,22319,*(HRW|DIA\S,hrwdias,Ἡρῳδιὰς,1
22320,22320,E)NEI=XEN,eneixen,ἐνεῖχεν,1
22332,22332,E)FOBEI=TO,efobeito,ἐφοβεῖτο,1
22335,6561,EI)DW\S,eidws,εἰδὼς,17
22342,22342,SUNETH/REI,sunethrei,συνετήρει,2
22350,22350,H(DE/WS,hdews,ἡδέως,2
22352,22352,H)/KOUEN,hkouen,ἤκουεν,4
22356,22356,EU)KAI/ROU,eukairou,εὐκαίρου,1
22360,22360,GENESI/OIS,genesiois,γενεσίοις,1
22362,22362,DEI=PNON,deipnon,δεῖπνον,8
22365,22365,MEGISTA=SIN,megistasin,μεγιστᾶσιν,1
22369,22369,XILIA/RXOIS,xiliarxois,χιλιάρχοις,2
22372,22372,PRW/TOIS,prwtois,πρώτοις,2
