id,info_id,book,chapter,verse,word_index
30889,2003,LUK,1,32,1
30890,1961,LUK,1,32,2
30891,23,LUK,1,32,3
30892,334,LUK,1,32,4
30893,21382,LUK,1,32,5
30894,905,LUK,1,32,6
30895,23,LUK,1,32,7
30896,3375,LUK,1,32,8
30897,331,LUK,1,32,9
30898,5393,LUK,1,32,10
30899,93,LUK,1,32,11
30900,407,LUK,1,32,12
30901,11,LUK,1,32,13
30902,30902,LUK,1,32,14
30903,6,LUK,1,32,15
30904,100,LUK,1,32,16
30905,874,LUK,1,32,17
30906,26,LUK,1,32,18
30907,23,LUK,1,33,0
30908,30908,LUK,1,33,1
30909,171,LUK,1,33,2
30910,11,LUK,1,33,3
30911,4420,LUK,1,33,4
30912,17,LUK,1,33,5
30913,463,LUK,1,33,6
30914,24,LUK,1,33,7
30915,2789,LUK,1,33,8
30916,23,LUK,1,33,9
30917,36,LUK,1,33,10
30918,1374,LUK,1,33,11
30919,26,LUK,1,33,12
30920,428,LUK,1,33,13
30921,2003,LUK,1,33,14
30922,5334,LUK,1,33,15
30923,569,LUK,1,34,0
30924,14,LUK,1,34,1
30925,339,LUK,1,34,2
30926,655,LUK,1,34,3
30927,11,LUK,1,34,4
30928,5839,LUK,1,34,5
30929,3092,LUK,1,34,6
30930,2003,LUK,1,34,7
30931,371,LUK,1,34,8
30932,11090,LUK,1,34,9
30933,240,LUK,1,34,10
30934,432,LUK,1,34,11
30935,30935,LUK,1,34,12
30936,23,LUK,1,35,0
30937,1174,LUK,1,35,1
30938,93,LUK,1,35,2
30939,326,LUK,1,35,3
30940,569,LUK,1,35,4
30941,346,LUK,1,35,5
30942,1212,LUK,1,35,6
30943,3283,LUK,1,35,7
30944,30944,LUK,1,35,8
30945,171,LUK,1,35,9
30946,1340,LUK,1,35,10
30947,23,LUK,1,35,11
30948,2783,LUK,1,35,12
30949,21382,LUK,1,35,13
30950,30950,LUK,1,35,14
30951,695,LUK,1,35,15
30952,17491,LUK,1,35,16
30953,23,LUK,1,35,17
30954,343,LUK,1,35,18
30955,30955,LUK,1,35,19
30956,3283,LUK,1,35,20
30957,905,LUK,1,35,21
30958,334,LUK,1,35,22
30959,1214,LUK,1,35,23
30960,23,LUK,1,36,0
30961,325,LUK,1,36,1
30962,30439,LUK,1,36,2
30963,282,LUK,1,36,3
30964,30964,LUK,1,36,4
30965,342,LUK,1,36,5
30966,23,LUK,1,36,6
30967,346,LUK,1,36,7
30968,30968,LUK,1,36,8
30969,354,LUK,1,36,9
30970,299,LUK,1,36,10
30971,30971,LUK,1,36,11
30972,309,LUK,1,36,12
30973,23,LUK,1,36,13
30974,930,LUK,1,36,14
30975,30975,LUK,1,36,15
30976,14260,LUK,1,36,16
30977,350,LUK,1,36,17
30978,346,LUK,1,36,18
30979,479,LUK,1,36,19
30980,30980,LUK,1,36,20
30981,30466,LUK,1,36,21
30982,747,LUK,1,37,0
30983,428,LUK,1,37,1
30984,10300,LUK,1,37,2
30985,778,LUK,1,37,3
30986,292,LUK,1,37,4
30987,3005,LUK,1,37,5
30988,1073,LUK,1,37,6
30989,1782,LUK,1,37,7
30990,569,LUK,1,38,0
30991,14,LUK,1,38,1
30992,339,LUK,1,38,2
30993,325,LUK,1,38,3
30994,282,LUK,1,38,4
30995,30995,LUK,1,38,5
30996,327,LUK,1,38,6
30997,30997,LUK,1,38,7
30998,580,LUK,1,38,8
30999,773,LUK,1,38,9
31000,343,LUK,1,38,10
31001,1782,LUK,1,38,11
31002,342,LUK,1,38,12
31003,23,LUK,1,38,13
31004,1628,LUK,1,38,14
31005,3585,LUK,1,38,15
31006,309,LUK,1,38,16
31007,93,LUK,1,38,17
31008,326,LUK,1,38,18
31009,31009,LUK,1,39,0
31010,14,LUK,1,39,1
31011,339,LUK,1,39,2
31012,299,LUK,1,39,3
31013,908,LUK,1,39,4
31014,454,LUK,1,39,5
31015,13717,LUK,1,39,6
31016,6196,LUK,1,39,7
31017,463,LUK,1,39,8
31018,177,LUK,1,39,9
31019,31019,LUK,1,39,10
31020,175,LUK,1,39,11
31021,22446,LUK,1,39,12
31022,463,LUK,1,39,13
31023,893,LUK,1,39,14
31024,530,LUK,1,39,15
31025,23,LUK,1,40,0
31026,6249,LUK,1,40,1
31027,463,LUK,1,40,2
31028,11,LUK,1,40,3
31029,4420,LUK,1,40,4
31030,14420,LUK,1,40,5
31031,23,LUK,1,40,6
31032,31032,LUK,1,40,7
31033,177,LUK,1,40,8
31034,30439,LUK,1,40,9
31035,23,LUK,1,41,0
31036,3688,LUK,1,41,1
31037,416,LUK,1,41,2
31038,8210,LUK,1,41,3
31039,282,LUK,1,41,4
31040,30439,LUK,1,41,5
31041,11,LUK,1,41,6
31042,31042,LUK,1,41,7
31043,36,LUK,1,41,8
31044,241,LUK,1,41,9
31045,31045,LUK,1,41,10
31046,343,LUK,1,41,11
31047,31047,LUK,1,41,12
31048,299,LUK,1,41,13
31049,479,LUK,1,41,14
31050,6874,LUK,1,41,15
31051,309,LUK,1,41,16
31052,23,LUK,1,41,17
31053,13296,LUK,1,41,18
31054,303,LUK,1,41,19
31055,304,LUK,1,41,20
31056,282,LUK,1,41,21
31057,30439,LUK,1,41,22
31058,23,LUK,1,42,0
31059,31059,LUK,1,42,1
31060,790,LUK,1,42,2
31061,3686,LUK,1,42,3
31062,23,LUK,1,42,4
31063,569,LUK,1,42,5
31064,26238,LUK,1,42,6
31065,527,LUK,1,42,7
31066,299,LUK,1,42,8
31067,18482,LUK,1,42,9
31068,23,LUK,1,42,10
31069,12421,LUK,1,42,11
31070,93,LUK,1,42,12
31071,12610,LUK,1,42,13
31072,36,LUK,1,42,14
31073,11342,LUK,1,42,15
31074,342,LUK,1,42,16
31075,23,LUK,1,43,0
31076,7597,LUK,1,43,1
31077,580,LUK,1,43,2
31078,371,LUK,1,43,3
31079,375,LUK,1,43,4
31080,5362,LUK,1,43,5
31081,282,LUK,1,43,6
31082,7026,LUK,1,43,7
31083,100,LUK,1,43,8
31084,327,LUK,1,43,9
31085,547,LUK,1,43,10
31086,655,LUK,1,43,11
31087,1173,LUK,1,43,12
31088,325,LUK,1,44,0
31089,287,LUK,1,44,1
31090,416,LUK,1,44,2
31091,3688,LUK,1,44,3
31092,282,LUK,1,44,4
31093,790,LUK,1,44,5
31094,100,LUK,1,44,6
31095,31095,LUK,1,44,7
31096,342,LUK,1,44,8
31097,463,LUK,1,44,9
31098,802,LUK,1,44,10
31099,5914,LUK,1,44,11
31100,547,LUK,1,44,12
31101,31045,LUK,1,44,13
31102,343,LUK,1,44,14
31103,31047,LUK,1,44,15
31104,299,LUK,1,44,16
31105,31105,LUK,1,44,17
31106,299,LUK,1,44,18
31107,479,LUK,1,44,19
31108,6874,LUK,1,44,20
31109,547,LUK,1,44,21
31110,23,LUK,1,45,0
31111,31111,LUK,1,45,1
31112,282,LUK,1,45,2
31113,31113,LUK,1,45,3
31114,747,LUK,1,45,4
31115,2003,LUK,1,45,5
31116,31116,LUK,1,45,6
31117,535,LUK,1,45,7
31118,31118,LUK,1,45,8
31119,346,LUK,1,45,9
31120,778,LUK,1,45,10
31121,327,LUK,1,45,11
31122,23,LUK,1,46,0
31123,569,LUK,1,46,1
31124,339,LUK,1,46,2
31125,31125,LUK,1,46,3
31126,282,LUK,1,46,4
31127,3016,LUK,1,46,5
31128,547,LUK,1,46,6
31129,11,LUK,1,46,7
31130,1356,LUK,1,46,8
31131,23,LUK,1,47,0
31132,31132,LUK,1,47,1
31133,343,LUK,1,47,2
31134,1212,LUK,1,47,3
31135,547,LUK,1,47,4
31136,171,LUK,1,47,5
31137,292,LUK,1,47,6
31138,3005,LUK,1,47,7
31139,292,LUK,1,47,8
31140,31140,LUK,1,47,9
31141,547,LUK,1,47,10
31142,747,LUK,1,48,0
31143,31143,LUK,1,48,1
31144,171,LUK,1,48,2
31145,177,LUK,1,48,3
31146,31146,LUK,1,48,4
31147,36,LUK,1,48,5
31148,31148,LUK,1,48,6
31149,26,LUK,1,48,7
31150,325,LUK,1,48,8
31151,287,LUK,1,48,9
31152,253,LUK,1,48,10
31153,100,LUK,1,48,11
31154,6731,LUK,1,48,12
31155,31155,LUK,1,48,13
31156,1173,LUK,1,48,14
31157,249,LUK,1,48,15
31158,251,LUK,1,48,16
31159,252,LUK,1,48,17
31160,747,LUK,1,49,0
31161,415,LUK,1,49,1
31162,580,LUK,1,49,2
31163,31163,LUK,1,49,3
31164,93,LUK,1,49,4
31165,31165,LUK,1,49,5
31166,23,LUK,1,49,6
31167,3283,LUK,1,49,7
31168,343,LUK,1,49,8
31169,358,LUK,1,49,9
31170,26,LUK,1,49,10
31171,23,LUK,1,50,0
31172,343,LUK,1,50,1
31173,31173,LUK,1,50,2
31174,26,LUK,1,50,3
31175,463,LUK,1,50,4
31176,6906,LUK,1,50,5
31177,31177,LUK,1,50,6
31178,535,LUK,1,50,7
31179,31179,LUK,1,50,8
31180,984,LUK,1,50,9
31181,415,LUK,1,51,0
31182,31182,LUK,1,51,1
31183,299,LUK,1,51,2
31184,31184,LUK,1,51,3
31185,26,LUK,1,51,4
31186,31186,LUK,1,51,5
31187,31187,LUK,1,51,6
31188,13698,LUK,1,51,7
31189,6777,LUK,1,51,8
31190,370,LUK,1,51,9
31191,31191,LUK,1,52,0
31192,31192,LUK,1,52,1
31193,253,LUK,1,52,2
